address,date,unixtime,uptime,state,sub_state,event,payload0,payload1,payload2,payload3,payload4
282,2022/03/18 20:21:58,1647634918,14854005,3,0,15,0,0,0,0,0
283,2022/03/18 20:21:58,1647634918,14854007,3,0,15,1,0,0,0,0
284,2022/03/18 20:21:58,1647634918,14854009,3,0,15,2,0,0,0,0
285,2022/03/18 20:21:58,1647634918,14854011,3,0,15,3,0,0,0,0
286,2022/03/18 20:23:59,1647635039,14975011,3,0,15,0,0,0,0,0
287,2022/03/18 20:23:59,1647635039,14975013,3,0,15,1,0,0,0,0
288,2022/03/18 20:23:59,1647635039,14975015,3,0,15,2,0,0,0,0
289,2022/03/18 20:23:59,1647635039,14975017,3,0,15,3,0,0,0,0
290,2022/03/18 20:26:00,1647635160,15096009,3,0,15,0,0,0,0,0
291,2022/03/18 20:26:00,1647635160,15096011,3,0,15,1,0,0,0,0
292,2022/03/18 20:26:00,1647635160,15096013,3,0,15,2,0,0,0,0
293,2022/03/18 20:26:00,1647635160,15096015,3,0,15,3,0,0,0,0
294,2022/03/18 20:28:01,1647635281,15217007,3,0,15,0,0,0,0,0
295,2022/03/18 20:28:01,1647635281,15217009,3,0,15,1,0,0,0,0
296,2022/03/18 20:28:01,1647635281,15217011,3,0,15,2,0,0,0,0
297,2022/03/18 20:28:01,1647635281,15217013,3,0,15,3,0,0,0,0
298,2022/03/18 20:30:02,1647635402,15338012,3,0,15,0,0,0,0,0
299,2022/03/18 20:30:02,1647635402,15338014,3,0,15,1,0,0,0,0
300,2022/03/18 20:30:02,1647635402,15338016,3,0,15,2,0,0,0,0
301,2022/03/18 20:30:02,1647635402,15338018,3,0,15,3,0,0,0,0
302,2022/03/18 20:32:03,1647635523,15459006,3,0,15,0,0,0,0,0
303,2022/03/18 20:32:03,1647635523,15459008,3,0,15,1,0,0,0,0
304,2022/03/18 20:32:03,1647635523,15459010,3,0,15,2,0,0,0,0
305,2022/03/18 20:32:03,1647635523,15459012,3,0,15,3,0,0,0,0
306,2022/03/18 20:34:04,1647635644,15580006,3,0,15,0,0,0,0,0
307,2022/03/18 20:34:04,1647635644,15580008,3,0,15,1,0,0,0,0
308,2022/03/18 20:34:04,1647635644,15580010,3,0,15,2,0,0,0,0
309,2022/03/18 20:34:04,1647635644,15580012,3,0,15,3,0,0,0,0
310,2022/03/18 20:36:05,1647635765,15701013,3,0,15,0,0,0,0,0
311,2022/03/18 20:36:05,1647635765,15701016,3,0,15,1,0,0,0,0
312,2022/03/18 20:36:05,1647635765,15701018,3,0,15,2,0,0,0,0
313,2022/03/18 20:36:05,1647635765,15701020,3,0,15,3,0,0,0,0
314,2022/03/18 20:38:06,1647635886,15822007,3,0,15,0,0,0,0,0
315,2022/03/18 20:38:06,1647635886,15822009,3,0,15,1,0,0,0,0
316,2022/03/18 20:38:06,1647635886,15822011,3,0,15,2,0,0,0,0
317,2022/03/18 20:38:06,1647635886,15822013,3,0,15,3,0,0,0,0
318,2022/03/18 20:40:07,1647636007,15943013,3,0,15,0,0,0,0,0
319,2022/03/18 20:40:07,1647636007,15943015,3,0,15,1,0,0,0,0
320,2022/03/18 20:40:07,1647636007,15943017,3,0,15,2,0,0,0,0
321,2022/03/18 20:40:07,1647636007,15943019,3,0,15,3,0,0,0,0
322,2022/03/18 20:42:08,1647636128,16064015,3,0,15,0,0,0,0,0
323,2022/03/18 20:42:08,1647636128,16064018,3,0,15,1,0,0,0,0
324,2022/03/18 20:42:08,1647636128,16064020,3,0,15,2,0,0,0,0
325,2022/03/18 20:42:08,1647636128,16064022,3,0,15,3,0,0,0,0
326,2022/03/18 20:44:09,1647636249,16185006,3,0,15,0,0,0,0,0
327,2022/03/18 20:44:09,1647636249,16185008,3,0,15,1,0,0,0,0
328,2022/03/18 20:44:09,1647636249,16185010,3,0,15,2,0,0,0,0
329,2022/03/18 20:44:09,1647636249,16185012,3,0,15,3,0,0,0,0
330,2022/03/18 20:46:10,1647636370,16306009,3,0,15,0,0,0,0,0
331,2022/03/18 20:46:10,1647636370,16306011,3,0,15,1,0,0,0,0
332,2022/03/18 20:46:10,1647636370,16306013,3,0,15,2,0,0,0,0
333,2022/03/18 20:46:10,1647636370,16306015,3,0,15,3,0,0,0,0
334,2022/03/18 20:48:11,1647636491,16427013,3,0,15,0,0,0,0,0
335,2022/03/18 20:48:11,1647636491,16427015,3,0,15,1,0,0,0,0
336,2022/03/18 20:48:11,1647636491,16427017,3,0,15,2,0,0,0,0
337,2022/03/18 20:48:11,1647636491,16427019,3,0,15,3,0,0,0,0
338,2022/03/18 20:50:12,1647636612,16548008,3,0,15,0,0,0,0,0
339,2022/03/18 20:50:12,1647636612,16548010,3,0,15,1,0,0,0,0
340,2022/03/18 20:50:12,1647636612,16548012,3,0,15,2,0,0,0,0
341,2022/03/18 20:50:12,1647636612,16548014,3,0,15,3,0,0,0,0
342,2022/03/18 20:52:13,1647636733,16669006,3,0,15,0,0,0,0,0
343,2022/03/18 20:52:13,1647636733,16669008,3,0,15,1,0,0,0,0
344,2022/03/18 20:52:13,1647636733,16669010,3,0,15,2,0,0,0,0
